EquipmentID,Name,Cost,Weight,MagicItemID,NOTES
206,A rope necklace from which dangles four mummified elf fingers,-,0,0,A Random Trinket from somewhere
207,The deed for a parcel of land in a realm unknown to you,-,0,0,A Random Trinket from somewhere
208,A 1-ounce block made from an unknown material,-,0,0,A Random Trinket from somewhere
209,A small cloth doll skewered with needles,-,0,0,A Random Trinket from somewhere
210,A tooth from an unknown beast,-,0,0,A Random Trinket from somewhere
211,"An enormous scale, perhaps from a dragon",-,0,0,A Random Trinket from somewhere
212,A bright green feather,-,0,0,A Random Trinket from somewhere
213,An old divination card bearing your likeness,-,0,0,A Random Trinket from somewhere
214,A glass orb filled with moving smoke,-,0,0,A Random Trinket from somewhere
215,A 1-pound egg with a bright red shell,-,0,0,A Random Trinket from somewhere
216,A pipe that blows bubbles,-,0,0,A Random Trinket from somewhere
217,A glass jar containing a weird bit of flesh floating in pickling fluid,-,0,0,A Random Trinket from somewhere
218,A tiny gnome-crafted music box that plays a song you dimly remember from your childhood,-,0,0,A Random Trinket from somewhere
219,A small wooden statuette of a smug halfling,-,0,0,A Random Trinket from somewhere
220,A brass orb etched with strange runes,-,0,0,A Random Trinket from somewhere
221,A multicolored stone disk,-,0,0,A Random Trinket from somewhere
222,A tiny silver icon of a raven,-,0,0,A Random Trinket from somewhere
223,"A bag containing forty-seven humanoid teeth, one of which is rotten",-,0,0,A Random Trinket from somewhere
224,A shard of obsidian that always feels warm to the touch,-,0,0,A Random Trinket from somewhere
225,A dragon's bony talon hanging from a plain leather necklace,-,0,0,A Random Trinket from somewhere
226,A pair of old socks,-,0,0,A Random Trinket from somewhere
227,"A blank book whose pages refuse to hold ink, chalk, graphite, or any other substance for marking",-,0,0,A Random Trinket from somewhere
228,A silver badge in the shape of a five-pointed star,-,0,0,A Random Trinket from somewhere
229,A knife that belonged to a relative,-,0,0,A Random Trinket from somewhere
230,A glass vial filled with nail clippings,-,0,0,A Random Trinket from somewhere
231,A rectangular metal device with two tiny metal cups on one end that throws sparks when wet,-,0,0,A Random Trinket from somewhere
232,"A white, sequined glove sized for a human",-,0,0,A Random Trinket from somewhere
233,A vest with one hundred tiny pockets,-,0,0,A Random Trinket from somewhere
234,"A small, weightless stone block",-,0,0,A Random Trinket from somewhere
235,A tiny sketch portrait of a goblin,-,0,0,A Random Trinket from somewhere
236,An empty glass vial that smells of perfume when opened,-,0,0,A Random Trinket from somewhere
237,A gemstone that looks like a lump of coal when examined by anyone but you,-,0,0,A Random Trinket from somewhere
238,A scrap of cloth from an old banner,-,0,0,A Random Trinket from somewhere
239,A rank insignia from a lost legionnaire,-,0,0,A Random Trinket from somewhere
240,A tiny silver bell without a clapper,-,0,0,A Random Trinket from somewhere
241,A mechanical canary inside a gnomish lamp,-,0,0,A Random Trinket from somewhere
242,A tiny chest carved to look like it has numerous feet on the bottom,-,0,0,A Random Trinket from somewhere
243,A dead sprite inside a clear glass bottle,-,0,0,A Random Trinket from somewhere
244,"A metal can that has no opening but sounds as if it is filled with liquid, sand, spiders, or broken glass (your choice)",-,0,0,A Random Trinket from somewhere
245,"A glass orb filled with water, in which swims a clockwork goldfish",-,0,0,A Random Trinket from somewhere
246,A silver spoon with an M engraved on the handle,-,0,0,A Random Trinket from somewhere
247,A whistle made from gold-colored wood,-,0,0,A Random Trinket from somewhere
248,A dead scarab beetle the size of your hand,-,0,0,A Random Trinket from somewhere
249,"Two toy soldiers, one with a missing head",-,0,0,A Random Trinket from somewhere
250,A small box filled with different-sized buttons,-,0,0,A Random Trinket from somewhere
251,A candle that can't be lit,-,0,0,A Random Trinket from somewhere
252,A tiny cage with no door,-,0,0,A Random Trinket from somewhere
253,An old key,-,0,0,A Random Trinket from somewhere
254,An indecipherable treasure map,-,0,0,A Random Trinket from somewhere
255,A hilt from a broken sword,-,0,0,A Random Trinket from somewhere
256,A rabbit's foot,-,0,0,A Random Trinket from somewhere
257,A glass eye,-,0,0,A Random Trinket from somewhere
258,A cameo carved in the likeness of a hideous person,-,0,0,A Random Trinket from somewhere
259,A silver skull the size of a coin,-,0,0,A Random Trinket from somewhere
260,An alabaster mask,-,0,0,A Random Trinket from somewhere
261,A pyramid of sticky black incense that smells very bad,-,0,0,A Random Trinket from somewhere
262,"A nightcap that, when worn, gives you pleasant dreams",-,0,0,A Random Trinket from somewhere
263,A single caltrop made from bone,-,0,0,A Random Trinket from somewhere
264,A gold monocle frame without the lens,-,0,0,A Random Trinket from somewhere
265,"A 1-inch cube, each side painted a different color",-,0,0,A Random Trinket from somewhere
266,A crystal knob from a door,-,0,0,A Random Trinket from somewhere
267,A small packet filled with pink dust,-,0,0,A Random Trinket from somewhere
268,"A fragment of a beautiful song, written as musical notes on two pieces of parchment",-,0,0,A Random Trinket from somewhere
269,A silver teardrop earring made from a real teardrop,-,0,0,A Random Trinket from somewhere
270,The shell of an egg painted with scenes of human misery in disturbing detail,-,0,0,A Random Trinket from somewhere
271,"A fan that, when unfolded, shows a sleeping cat",-,0,0,A Random Trinket from somewhere
272,A set of bone pipes,-,0,0,A Random Trinket from somewhere
273,A four-leaf clover pressed inside a book discussing manners and etiquette,-,0,0,A Random Trinket from somewhere
274,A sheet of parchment upon which is drawn a complex mechanical contraption,-,0,0,A Random Trinket from somewhere
275,An ornate scabbard that fits no blade you have found so far,-,0,0,A Random Trinket from somewhere
276,An invitation to a party where a murder happened,-,0,0,A Random Trinket from somewhere
277,A bronze pentacle with an etching of a rat's head in its center,-,0,0,A Random Trinket from somewhere
278,A purple handkerchief embroidered with the name of a powerful archmage,-,0,0,A Random Trinket from somewhere
279,"Half of a floorplan for a temple, castle, or some other structure",-,0,0,A Random Trinket from somewhere
280,"A bit of folded cloth that, when unfolded, turns into a stylish cap",-,0,0,A Random Trinket from somewhere
281,A receipt of deposit at a bank in a far-flung city,-,0,0,A Random Trinket from somewhere
282,A diary with seven missing pages,-,0,0,A Random Trinket from somewhere
283,"An empty silver snuffbox bearing an inscription on the surface that says ""dreams''",-,0,0,A Random Trinket from somewhere
284,An iron holy symbol devoted to an unknown god,-,0,0,A Random Trinket from somewhere
285,A book that tells the story of a legendary hero's rise,-,0,0,A Random Trinket from somewhere
286,"and fall, with the last chapter missing",-,0,0,A Random Trinket from somewhere
287,A vial of dragon blood,-,0,0,A Random Trinket from somewhere
288,An ancient arrow of elven design,-,0,0,A Random Trinket from somewhere
289,A needle that never bends,-,0,0,A Random Trinket from somewhere
290,An ornate brooch of dwarven design,-,0,0,A Random Trinket from somewhere
291,"An empty wine bottle bearing a pretty label that says, ""The Wizard of Wines Winery, Red Dragon Crush, 331422-W""",-,0,0,A Random Trinket from somewhere
292,"A mosaic tile with a multicolored, glazed surface",-,0,0,A Random Trinket from somewhere
293,A petrified mouse,-,0,0,A Random Trinket from somewhere
294,A black pirate flag adorned with a dragon's skull and crossbones,-,0,0,A Random Trinket from somewhere
295,A tiny mechanical crab or spider that moves about when it's not being observed,-,0,0,A Random Trinket from somewhere
296,"A glass jar containing lard with a label that reads, ""Griffon Grease""",-,0,0,A Random Trinket from somewhere
297,A wooden box with a ceramic bottom that holds a living worm with a head on each end of its body,-,0,0,A Random Trinket from somewhere
298,A metal urn containing the ashes of a hero,-,0,0,A Random Trinket from somewhere
